,id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,organization_animal_id,photos,primary_photo_cropped,videos,status,status_changed_at,published_at,distance,contact,_links
0,59753163,TN478,https://www.petfinder.com/dog/beverly-59753163/tn/chattanooga/mckamey-animal-center-tn478/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'Mixed Breed', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Brown / Chocolate', 'secondary': None, 'tertiary': None}",Young,Female,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}","['Expected to be Good with Most Dogs', 'Expected to be OK with Kids eight yrs and older', 'Food Motivated', 'GREEN Behavioral Category', 'I know some commands', 'I m a Lap Dog', 'Loves Squeaker Toys', 'Loves Stuffed Toys', 'Loves Tennis Balls', 'Shy at First']",Beverly,,MACT-A-101296,[],,[],adoptable,2023-01-28T17:20:17+0000,2023-01-28T17:20:16+0000,,"{'email': 'adoptions@mckameyanimalcenter.org', 'phone': '(423) 305-6514', 'address': {'address1': '4500 N. Access Road', 'address2': None, 'city': 'Chattanooga', 'state': 'TN', 'postcode': '37415', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753163'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tn478'}}"
1,59753164,FL716,https://www.petfinder.com/dog/mercy-59753164/fl/freeport/alaqua-animal-refuge-fl716/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'White German Shepherd', 'secondary': 'Hound', 'mixed': True, 'unknown': False}","{'primary': 'White / Cream', 'secondary': None, 'tertiary': None}",Baby,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Mercy,Mercy and 11 of her siblings came to Alaqua from a hoarding case of more than 30 dogs. When they...,ALAQ-A-10810,[],,[],adoptable,2023-01-28T17:20:17+0000,2023-01-28T17:20:16+0000,,"{'email': 'adoptions@alaquaanimalrefuge.org', 'phone': '850-880-6399  ', 'address': {'address1': '914 Whitfield Road', 'address2': None, 'city': 'Freeport', 'state': 'FL', 'postcode': '32439', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753164'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl716'}}"
2,59753156,VA284,https://www.petfinder.com/dog/2301-1613-phantom-59753156/va/virginia-beach/virginia-beach-animal-care-and-adoption-center-va284/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'Mixed Breed', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Large,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],2301-1613 Phantom,Phantom! Super cute mixed breed. 1.5 years old. Surrendered for not doing well with the other dogs in the home....,18983777,[],,[],adoptable,2023-01-28T17:18:11+0000,2023-01-28T17:18:10+0000,,"{'email': 'vbpdac@vbgov.com', 'phone': '757-385-4444 ', 'address': {'address1': '341 S. Birdneck Road', 'address2': None, 'city': 'Virginia Beach', 'state': 'VA', 'postcode': '23451', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753156'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/va284'}}"
3,59753148,NY712,https://www.petfinder.com/dog/tx-davey-tx-59753148/ny/baldwinsville/national-brittany-rescue-and-adoption-network-ny712/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'Brittany Spaniel', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Medium,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': True, 'dogs': True, 'cats': None}",[],TX/Davey (TX),"Hello, my name is Davey. I am a cute, handsome 2 year old neutered energetic boy if I don&amp;#39;t say...",18884691-22-0359,[],,[],adoptable,2023-01-28T17:17:59+0000,2023-01-28T17:17:58+0000,,"{'email': 'JBBSTUDIO@comcast.net', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Baldwinsville', 'state': 'NY', 'postcode': '13027', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753148'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ny712'}}"
4,59753127,TX1866,https://www.petfinder.com/dog/seminole-wind-59753127/tx/houston/houston-chow-chow-connection-tx1866/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'Chow Chow', 'secondary': 'Shepherd', 'mixed': True, 'unknown': False}","{'primary': 'Tricolor (Brown, Black, & White)', 'secondary': None, 'tertiary': None}",Young,Female,Medium,Medium,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': True, 'cats': None}","['Friendly', 'Affectionate', 'Gentle', 'Playful', 'Smart', 'Funny', 'Athletic', 'Loves kisses']",Seminole Wind,Windy is 1 year old and weighs about 40lbs. She has a great personality! She has her moments of zoomies...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/3/?bust=1674926170&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/3/?bust=1674926170&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/3/?bust=1674926170&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/3/?bust=1674926170'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/1/?bust=1674926169&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/1/?bust=1674926169&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/1/?bust=1674926169&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/1/?bust=1674926169'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/2/?bust=1674926170&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/2/?bust=1674926170&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/2/?bust=1674926170&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/2/?bust=1674926170'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/4/?bust=1674926171&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/4/?bust=1674926171&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/4/?bust=1674926171&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/4/?bust=1674926171'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/5/?bust=1674926172&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/5/?bust=1674926172&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/5/?bust=1674926172&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/5/?bust=1674926172'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/3/?bust=1674926170&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/3/?bust=1674926170&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/3/?bust=1674926170&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753127/3/?bust=1674926170'}",[],adoptable,2023-01-28T17:17:04+0000,2023-01-28T17:17:03+0000,,"{'email': 'chowmail.hccc@gmail.com', 'phone': None, 'address': {'address1': '448 West 15th Street', 'address2': 'Box 553', 'city': 'Houston', 'state': 'TX', 'postcode': '77008', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753127'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tx1866'}}"
5,59753134,MI817,https://www.petfinder.com/dog/malolo-59753134/mi/traverse-city/great-lakes-humane-society-mi817/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'American Staffordshire Terrier', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Red / Chestnut / Orange', 'secondary': 'White / Cream', 'tertiary': None}",Young,Male,Large,Short,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': True, 'cats': None}",['Cuddly'],Malolo,"Malolo is a two year old male pit bull mix with the best ears in town. He is extra cuddly,...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753134/1/?bust=1674926198&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753134/1/?bust=1674926198&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753134/1/?bust=1674926198&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753134/1/?bust=1674926198'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753134/1/?bust=1674926198&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753134/1/?bust=1674926198&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753134/1/?bust=1674926198&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753134/1/?bust=1674926198'}",[],adoptable,2023-01-28T17:16:54+0000,2023-01-28T17:16:53+0000,,"{'email': 'greatlakeshumane@gmail.com', 'phone': '(231) 846-8293', 'address': {'address1': None, 'address2': None, 'city': 'Traverse City', 'state': 'MI', 'postcode': '49684', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753134'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/mi817'}}"
6,59753142,NJ03,https://www.petfinder.com/dog/cooper-59753142/nj/forked-river/popcorn-park-ahs-forked-river-nj03/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'American Staffordshire Terrier', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': 'Brown / Chocolate', 'secondary': 'White / Cream', 'tertiary': None}",Adult,Male,Large,Short,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': None}",[],Cooper,Cooper is one happy guy!  He&#039;s about 7 years old and he&#039;s the perfect family dog.  He had a family...,61846,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/1/?bust=1674926206&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/1/?bust=1674926206&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/1/?bust=1674926206&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/1/?bust=1674926206'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/2/?bust=1674926207&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/2/?bust=1674926207&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/2/?bust=1674926207&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/2/?bust=1674926207'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/3/?bust=1674926208&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/3/?bust=1674926208&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/3/?bust=1674926208&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/3/?bust=1674926208'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/4/?bust=1674926208&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/4/?bust=1674926208&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/4/?bust=1674926208&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/4/?bust=1674926208'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/5/?bust=1674926208&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/5/?bust=1674926208&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/5/?bust=1674926208&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/5/?bust=1674926208'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/1/?bust=1674926206&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/1/?bust=1674926206&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/1/?bust=1674926206&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59753142/1/?bust=1674926206'}",[],adoptable,2023-01-28T17:16:51+0000,2023-01-28T17:16:50+0000,,"{'email': 'media@ahsppz.org', 'phone': '(609) 693-1900', 'address': {'address1': 'Humane Way - Box 43', 'address2': None, 'city': 'Forked River', 'state': 'NJ', 'postcode': '08731', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753142'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/nj03'}}"
7,59753138,GA935,https://www.petfinder.com/dog/freddie-59753138/ga/kennesaw/renegade-rescue-ga935/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'Collie', 'secondary': 'Labrador Retriever', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Male,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Freddie,Go Falcons!! My name is Freddie Falcon. I am named after the Atlanta Falcons. I am an all-around mutt with...,18983723,[],,[],adoptable,2023-01-28T17:16:40+0000,2023-01-28T17:16:39+0000,,"{'email': 'renegaderescuega@gmail.com', 'phone': '(678) 737-3758', 'address': {'address1': None, 'address2': None, 'city': 'Kennesaw', 'state': 'GA', 'postcode': '30152', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753138'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ga935'}}"
8,59753140,GA935,https://www.petfinder.com/dog/blooper-59753140/ga/kennesaw/renegade-rescue-ga935/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'Collie', 'secondary': 'Labrador Retriever', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Male,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Blooper,"Go Braves!! My name is Blooper. Yep, that&amp;#39;s right just like the Atlanta Braves mascot. I am an all-around mutt...",18983721,[],,[],adoptable,2023-01-28T17:16:40+0000,2023-01-28T17:16:39+0000,,"{'email': 'renegaderescuega@gmail.com', 'phone': '(678) 737-3758', 'address': {'address1': None, 'address2': None, 'city': 'Kennesaw', 'state': 'GA', 'postcode': '30152', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753140'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ga935'}}"
9,59753137,GA935,https://www.petfinder.com/dog/star-59753137/ga/kennesaw/renegade-rescue-ga935/?referrer_id=44645836-a198-4236-bf59-9e331f936345,Dog,Dog,"{'primary': 'Collie', 'secondary': 'Labrador Retriever', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Female,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Star,Please email renegaderescuega@gmail.com for an application.,18983725,[],,[],adoptable,2023-01-28T17:16:39+0000,2023-01-28T17:16:38+0000,,"{'email': 'renegaderescuega@gmail.com', 'phone': '(678) 737-3758', 'address': {'address1': None, 'address2': None, 'city': 'Kennesaw', 'state': 'GA', 'postcode': '30152', 'country': 'US'}}","{'self': {'href': '/v2/animals/59753137'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ga935'}}"
